,ZIP,State,Sun,Houses,Solar Fraction,Solar Houses
448,02632,MA,4.58,5867,0.018237976173,107.0
449,02633,MA,4.45,3992,0.018237976173,73.0
450,02635,MA,4.58,2142,0.018237976173,39.0
451,02637,MA,4.48,82,0.018237976173,1.0
452,02638,MA,4.42,2797,0.018237976173,51.0
453,02639,MA,4.5,3700,0.018237976173,67.0
454,02642,MA,4.43,5432,0.018237976173,99.0
455,02643,MA,4.47,40,0.018237976173,1.0
456,02644,MA,4.5,1426,0.018237976173,26.0
457,02645,MA,4.42,5431,0.018237976173,99.0
458,02646,MA,4.5,2274,0.018237976173,41.0
459,02647,MA,4.55,256,0.018237976173,5.0
460,02648,MA,4.5,3264,0.018237976173,60.0
461,02649,MA,4.56,7457,0.018237976173,136.0
462,02650,MA,4.47,857,0.018237976173,16.0
463,02652,MA,4.44,1406,0.018237976173,26.0
464,02653,MA,4.43,4133,0.018237976173,75.0
465,02655,MA,4.58,2783,0.018237976173,51.0
466,02657,MA,4.44,1624,0.018237976173,30.0
467,02659,MA,4.45,1195,0.018237976173,22.0
468,02660,MA,4.42,3557,0.018237976173,65.0
469,02663,MA,4.44,361,0.018237976173,7.0
470,02664,MA,4.5,5786,0.018237976173,106.0
471,02666,MA,4.44,1502,0.018237976173,27.0
472,02667,MA,4.43,3573,0.018237976173,65.0
473,02668,MA,4.44,1181,0.018237976173,22.0
474,02670,MA,4.5,2066,0.018237976173,38.0
475,02671,MA,4.5,764,0.018237976173,14.0
476,02673,MA,4.55,4866,0.018237976173,89.0
477,02675,MA,4.42,3165,0.018237976173,58.0
478,02702,MA,4.58,1385,0.018237976173,25.0
479,02703,MA,4.54,9416,0.018237976173,172.0
480,02715,MA,4.6,854,0.018237976173,16.0
481,02717,MA,4.59,1627,0.018237976173,30.0
482,02718,MA,4.57,1712,0.018237976173,31.0
483,02719,MA,4.54,5507,0.018237976173,100.0
484,02720,MA,4.59,4190,0.018237976173,76.0
485,02721,MA,4.6,2525,0.018237976173,46.0
486,02723,MA,4.6,1095,0.018237976173,20.0
487,02724,MA,4.6,1923,0.018237976173,35.0
488,02725,MA,4.61,904,0.018237976173,16.0
489,02726,MA,4.61,4935,0.018237976173,90.0
490,02738,MA,4.57,2213,0.018237976173,40.0
491,02739,MA,4.54,2839,0.018237976173,52.0
492,02740,MA,4.6,6134,0.018237976173,112.0
493,02743,MA,4.54,3203,0.018237976173,58.0
494,02744,MA,4.58,1193,0.018237976173,22.0
495,02745,MA,4.59,5281,0.018237976173,96.0
496,02746,MA,4.6,633,0.018237976173,12.0
497,02747,MA,4.58,5682,0.018237976173,104.0
498,02748,MA,4.58,4678,0.018237976173,85.0
499,02760,MA,4.54,6351,0.018237976173,116.0
500,02762,MA,4.54,2282,0.018237976173,42.0
501,02763,MA,4.54,439,0.018237976173,8.0
502,02764,MA,4.59,1192,0.018237976173,22.0
503,02766,MA,4.55,4353,0.018237976173,79.0
504,02767,MA,4.55,3513,0.018237976173,64.0
505,02769,MA,4.57,3798,0.018237976173,69.0
506,02770,MA,4.54,1763,0.018237976173,32.0
507,02771,MA,4.54,4747,0.018237976173,87.0
